timestamp,t7,t8,pz,af3,af4
1740095804.9233,4278.974,4112.308,4181.538,4150.256,4138.462
1740095804.9311,4276.923,4097.949,4190.256,4124.615,4128.718
1740095804.9389,4336.41,4092.821,4206.667,4106.667,4115.897
1740095804.9467,4385.641,4081.026,4213.846,4102.564,4100.513
1740095804.9546,4381.538,4078.462,4223.59,4122.051,4101.538
1740095804.9626,4371.282,4094.359,4222.564,4136.41,4118.974
1740095804.9706,4379.487,4092.821,4223.59,4130.769,4122.564
1740095804.9786,4373.333,4084.103,4227.692,4135.385,4123.077
1740095804.9864,4352.821,4100.513,4218.974,4143.59,4128.718
1740095804.9941,4340.513,4115.897,4178.462,4143.59,4133.333
1740095805.0019,4334.359,4103.077,4163.59,4138.462,4137.436
1740095805.0097,4311.795,4086.667,4191.282,4115.385,4127.692
1740095805.0175,4309.744,4104.103,4221.538,4111.795,4134.872
1740095805.0253,4369.231,4131.795,4235.385,4158.974,4189.231
1740095805.0332,4410.256,4141.538,4223.077,4197.949,4233.846
1740095805.0412,4381.538,4155.897,4196.923,4194.872,4230.256
1740095805.049,4356.923,4175.385,4180,4190.256,4220.513
1740095805.0568,4350.769,4162.051,4200.513,4186.667,4215.385
1740095805.0648,4346.667,4139.487,4225.641,4165.128,4201.538
1740095805.0725,4356.923,4135.385,4251.795,4153.333,4197.949
1740095805.0805,4371.282,4140.513,4257.436,4173.846,4205.128
1740095805.0883,4367.179,4137.949,4240.513,4170.769,4184.103
1740095805.0963,4363.077,4115.897,4209.744,4127.179,4154.872
1740095805.1043,4375.385,4093.846,4199.487,4116.41,4169.231
1740095805.1122,4371.282,4086.154,4171.795,4136.41,4186.154
1740095805.1202,4344.615,4073.333,4141.538,4108.718,4154.872
1740095805.1282,4330.256,4074.872,4152.821,4073.846,4144.103
1740095805.136,4330.256,4091.282,4204.615,4088.718,4169.231
1740095805.144,4358.974,4094.359,4237.949,4112.308,4177.949
1740095805.1517,4412.308,4101.538,4259.487,4125.641,4192.821
1740095805.1597,4418.462,4113.333,4281.538,4132.308,4205.641
1740095805.1677,4365.128,4091.795,4284.103,4115.385,4174.872
1740095805.1757,4324.103,4060,4270.256,4087.179,4136.923
1740095805.1835,4336.41,4065.641,4255.385,4086.667,4143.077
1740095805.1914,4358.974,4093.333,4240,4118.462,4159.487
1740095805.1992,4352.821,4120,4205.641,4152.821,4167.692
1740095805.2072,4340.513,4144.103,4210.769,4166.667,4180
1740095805.215,4379.487,4166.667,4247.692,4187.692,4203.077
1740095805.2228,4424.615,4169.231,4265.128,4219.487,4213.846
1740095805.2305,4402.051,4150.769,4248.205,4218.462,4183.077
1740095805.2383,4356.923,4131.795,4240.513,4202.051,4149.231
1740095805.2461,4377.436,4131.795,4214.359,4217.949,4167.179
1740095805.2539,4432.821,4141.026,4183.077,4226.667,4186.667
1740095805.2617,4416.41,4149.231,4155.897,4201.538,4165.128
1740095805.2694,4338.462,4154.359,4138.462,4178.462,4141.538
1740095805.2772,4332.308,4146.667,4143.59,4168.205,4131.282
1740095805.285,4377.436,4138.462,4185.641,4166.154,4113.333
1740095805.2928,4389.744,4152.308,4212.308,4174.872,4110.256
1740095805.3008,4430.769,4183.077,4220.513,4193.333,4143.59
1740095805.3085,4465.641,4220,4229.744,4233.333,4204.615
1740095805.3165,4438.974,4243.077,4225.128,4278.462,4253.846
1740095805.3243,4422.564,4235.385,4206.667,4281.538,4255.897
1740095805.3323,4426.667,4224.103,4184.615,4275.897,4242.564
1740095805.3403,4395.897,4237.436,4191.795,4293.333,4240
1740095805.3482,4361.026,4244.103,4217.436,4288.718,4233.846
1740095805.3562,4377.436,4234.872,4263.59,4277.949,4226.154
1740095805.364,4397.949,4251.795,4302.564,4315.897,4237.436
1740095805.3718,4389.744,4281.026,4301.026,4355.385,4261.026
1740095805.3796,4375.385,4272.821,4248.205,4350.769,4262.564
1740095805.3874,4361.026,4231.795,4223.59,4325.641,4228.718
1740095805.3953,4324.103,4215.897,4213.333,4315.385,4208.205
1740095805.4031,4287.179,4227.692,4187.179,4310.769,4216.41
1740095805.4111,4334.359,4225.128,4180.513,4297.949,4217.949
1740095805.4189,4381.538,4207.179,4221.026,4280.513,4211.795
1740095805.4269,4358.974,4198.462,4243.59,4270.769,4207.692
1740095805.4346,4352.821,4203.59,4238.462,4265.641,4196.923
1740095805.4426,4412.308,4206.154,4231.795,4270.256,4201.026
1740095805.4504,4461.538,4200,4233.333,4287.179,4236.41
1740095805.4584,4428.718,4198.462,4230.769,4285.641,4241.026
1740095805.4662,4400,4197.436,4206.667,4270.769,4208.205
1740095805.4741,4434.872,4205.641,4181.026,4287.179,4224.615
1740095805.4819,4445.128,4241.538,4182.564,4321.538,4291.795
1740095805.4899,4404.103,4264.615,4220.513,4323.59,4309.744
1740095805.4977,4428.718,4251.282,4254.359,4312.308,4277.436
1740095805.5057,4496.41,4243.077,4279.487,4331.795,4282.564
1740095805.5136,4482.051,4252.308,4271.282,4362.564,4317.436
1740095805.5216,4438.974,4249.744,4250.769,4364.615,4311.282
1740095805.5294,4455.385,4247.179,4226.667,4363.59,4297.949
1740095805.5372,4486.154,4253.846,4215.897,4376.923,4321.026
1740095805.545,4477.949,4262.564,4223.59,4382.051,4337.436
1740095805.5527,4441.026,4278.974,4251.795,4385.128,4328.718
1740095805.5605,4412.308,4289.744,4266.154,4393.333,4328.718
1740095805.5683,4436.923,4276.923,4258.974,4385.128,4321.538
1740095805.5761,4457.436,4263.59,4236.923,4369.744,4308.718
1740095805.5839,4406.154,4264.103,4234.872,4370.769,4314.872
1740095805.5916,4367.179,4256.41,4264.103,4368.205,4305.641
